11/10/17,Oral Roberts,86,Avila,72
11/10/17,E Kentucky,73,Rice,72
11/10/17,SE Louisiana,99,Centenary,67
11/10/17,SMU,78,UMBC,67
11/10/17,St Louis,62,Seattle,46
11/10/17,TCU,83,ULM,73
11/10/17,Texas,105,Northwestern LA,59
11/10/17,Texas Tech,75,South Alabama,50
11/10/17,Tulane,102,Long Island,96
11/10/17,Lamar,74,Tulsa,67
11/10/17,Nicholls St,111,UTRGV                   1,6
11/10/17,Valparaiso,88,North Park,46
11/10/17,Vanderbilt,73,Austin Peay,54
11/10/17,Missouri St,85,WKU,80
11/10/17,Wichita St,109,Missouri KC,57
11/10/17,Wisconsin,85,S Carolina St,50
11/10/17,Lipscomb,98,Emory,83
11/10/17,S Dakota St,65,UC Irvine,54
11/10/17,Arizona,101,Northern Arizona,67
11/10/17,Arizona St,94,Idaho St,74
11/10/17,Boise St,104,Eastern Oregon,65
11/10/17,Colorado,66,N Colorado,51
11/10/17,Colorado St,72,CS Sacramento,61
11/10/17,Grand Canyon,67,Florida A&M,51
11/10/17,Montana,72,Whitworth,60
11/10/17,Montana St,89,NE Omaha,80
11/10/17,UTEP,100,Louisiana Col,50
11/10/17,Utah,83,Prairie View,62
11/10/17,Weber St,65,Utah St,59
11/10/17,Wyoming,74,Chattanooga,65
11/10/17,UC Riverside,74,California,66
11/10/17,E Washington,82,Walla Walla,61
11/10/17,Gonzaga,97,TX Southern,69
11/10/17,Nevada,88,Idaho,64
11/10/17,CS Northridge,76,Life Pacific,50
11/10/17,Oregon,70,Coppin St,54
11/10/17,Oregon St,99,Southern Utah,82
11/10/17,San Diego St,91,San Diego Chr,52
11/10/17,Long Beach St,83,San Francisco,71
11/10/17,Santa Clara,120,La Verne,70
11/10/17,Stanford,78,Cal Poly,62
11/10/17,USC,84,CS Fullerton,42
11/10/17,Washington,86,Belmont,82
11/10/17,CS Bakersfield,88,Whittier,66
11/10/17,Hawaii,82,Ark Pine Bluff,70
11/10/17,North Dakota,83,Troy,80
11/10/17,E Michigan,92,Spring Arbor,60
11/10/17,Southern Miss,79,Southern N.O.,69
11/10/17,Incarnate Word,87,SW Univ TX,71
11/10/17,Hawaii Pacific,65,AK Anchorage,51
11/10/17,Anderson SC,92,S Wesleyan,75
11/10/17,Angelo St,86,Col Springs,74
11/10/17,Arkansas-FS,88,Midwest TX St,74
11/10/17,Arkansas Tech,114,MN Crookston            1,5
11/10/17,Ark Monticello,97,Concordia SP,88
11/10/17,Ashland,73,Lake Erie,58
11/10/17,Bloomfield,85,Assumption,71
11/10/17,Augusta,76,Mt Olive,75
11/10/17,Azusa Pacific,70,UC San Diego,62
11/10/17,Young Harris,84,Barton,75
11/10/17,Bellarmine,83,Saginaw Val,75
11/10/17,Belmont Abbey,92,Mars Hill,83
11/10/17,Bowie St,79,Shepherd,71
11/10/17,Cal Baptist,83,CS Dom. Hills,78
11/10/17,Cal St-LA,60,Holy Names,49
11/10/17,Newman,87,Cameron,85
11/10/17,Carson-Newman,82,Lander,78
11/10/17,Francis Marion,72,Catawba,70
11/10/17,Chr Brothers,74,Central St OH,50
11/10/17,Texas A&M Intl,72,Chadron St,64
11/10/17,West Liberty,139,Cheyney St,63
11/10/17,W Salem St,111,Clarion,95
11/10/17,Clark Atlanta,106,Rollins                 1,3
11/10/17,C Missouri,76,MN Duluth,60
11/10/17,C Oklahoma,78,SE Oklahoma,51
11/10/17,Dallas Bap,89,Colorado Chr,58
11/10/17,Colorado Mines,82,Lubbock Chr,78
11/10/17,Concord,82,Fayetteville St,75
11/10/17,Concordia CA,82,CS Chico,78
11/10/17,Concordia OR,88,CS Monterey Bay,85
11/10/17,CS Poly Pomona,79,Dixie St,75
11/10/17,CS San Bern.,81,C Washington,62
11/10/17,MT St-Billings,74,CSU East Bay,72
11/10/17,CSU-Pueblo,84,Rogers St,65
11/10/17,Univ Sciences,63,CW Post,54
11/10/17,Daemen,62,Felician,57
11/10/17,Eckerd,61,Delta St,55
11/10/17,Eliz. City St,85,UVA-Wise,68
11/10/17,Embry-Riddle FL,92,Mississippi Col,73
11/10/17,Sioux Falls,94,Emporia St,89
11/10/17,Fairmont St,86,St Augustine's,63
11/10/17,Ferris St,75,Quincy,60
11/10/17,Morehouse,87,Florida Tech,82
11/10/17,West Alabama,85,FL Southern,78
11/10/17,Fort Hays St,85,SW Minnesota,66
11/10/17,St Martin's,95,Fresno Pacific,79
11/10/17,Wheeling Jesuit,81,Gannon,74
11/10/17,Queens NC,89,Georgia C&S,53
11/10/17,Henderson St,93,Moorhead St,80
11/10/17,Hillsdale,77,S Indiana,70
11/10/17,Malone,74,IL Springfield,54
11/10/17,Indiana PA,93,Urbana,60
11/10/17,Northwood MI,73,Indianapolis,71
11/10/17,JC Smith,81,WV State,78
11/10/17,King TN,101,Tusculum,94
11/10/17,Lincoln Mem,100,Lees-McRae,80
11/10/17,LeMoyne-Owen,60,Shorter,52
11/10/17,Limestone,87,Wingate,74
11/10/17,SW Oklahoma,80,Lincoln MO,78
11/10/17,Virginia Union,72,Lock Haven,69
11/10/17,St Edward's,100,Mesa St,92
11/10/17,Tarleton St,89,Metro St,78
11/10/17,Millersville,107,Notre Dame OH,99
11/10/17,Minot St,84,S Arkansas,70
11/10/17,Pittsburg St,90,MN Mankato,80
11/10/17,St Cloud,76,MO Southern,70
11/10/17,Winona St,71,MO Western,67
11/10/17,NW Oklahoma St,61,NE Oklahoma,50
11/10/17,Northern St SD,69,Washburn,57
11/10/17,W Washington,87,Notre Dame CA,45
11/10/17,NW Missouri,89,Upper Iowa,65
11/10/17,Roberts Wslyn,67,Nyack,60
11/10/17,NYIT,81,Wilmington DE,76
11/10/17,Tiffin,71,OH Dominican,67
11/10/17,OK Baptist,88,SW Baptist,73
11/10/17,TX A&M Commerce,70,Oklahoma Chr,61
11/10/17,Permian Basin,89,Western St CO,79
11/10/17,Virginia St,79,Pitt-Johnstown,75
11/10/17,Regis CO,83,St Mary's TX,82
11/10/17,TX A&M K'ville,71,S Dakota Tech,53
11/10/17,Sonoma St,100,Seattle Pacific,93
11/10/17,Shippensburg,65,Shaw NC,53
11/10/17,Lincoln PA,93,Bluefield VA,71
11/10/17,James Madison,80,Bridgewater VA,50
11/10/17,Wm Jewell,87,Davenport,68
11/10/17,New Mexico St,81,East Central OK,55
11/10/17,Fresno St,96,UC Santa Cruz,65
11/10/17,Simon Fraser,87,Hawaii Hilo,75
11/10/17,Stetson,98,Webber,89
11/10/17,WI Milwaukee,83,WI LaCrosse,73
11/10/17,Seton Hill,85,Charleston WV,77
11/10/17,North Greenville,92,Coker,84
11/10/17,CS Stanislaus,62,Dominican CA,60
11/10/17,Newberry,71,Erskine,56
11/10/17,NC Pembroke,62,Lenoir Rhyne,57
11/10/17,Chaminade,71,AK Fairbanks,58
11/10/17,Benedict,86,Montevallo,74
11/10/17,Rockhurst,88,Purdue Northwest,78
11/10/17,Queens NY,78,Chestnut Hill,56
11/10/17,MO St Louis,64,Grand Valley St,62
11/10/17,Palm Beach Atl,110,Paine,73
11/10/17,North Georgia,102,Emmanuel GA,92
11/10/17,Claflin,91,Auburn M'gomery,59
11/10/17,S Francisco St,72,Academy of Art,65
11/10/17,Lindenwood,74,Bemidji St,63
11/10/17,Dominican NY,86,Stonehill,83
11/10/17,W Texas A&M,90,Adams St,69
11/10/17,W Oregon,70,Point Loma,69
11/10/17,Union TN,59,Spring Hill,54
11/10/17,Drury,107,Ottawa KS,57
11/10/17,NE Kearney,71,Wayne St NE,66
11/10/17,North Texas,122,Eureka,65
11/10/17,Florida Intl,70,FL Memorial,47
11/10/17,Tennessee Tech,94,Midway,56
11/10/17,Delaware St,71,Cairn,50
11/10/17,Radford,72,Georgia SW,63
11/10/17,SE Missouri St,81,MO Baptist,69
11/10/17,TAM C. Christi,69,Our Lady Lake,68
11/10/17,CS San Marcos,84,Biola,57
11/10/17,Wayland,97,McMurry,68
11/10/17,Nova SE,116,Florida National,92
11/10/17,Southern Nazarene,69,Southwestern KS,55
11/10/17,NW Nazarene,93,Multnomah Bib,74
11/10/17,Westminster UT,80,J&W CO,58
11/11/17,Texas A&M,88,West Virginia,65
11/11/17,UCLA,63,Georgia Tech,60
11/11/17,Akron,67,Cleveland St,57
11/11/17,Appalachian St,135,Toccoa Falls,34
11/11/17,Brown,106,J&W RI,78
11/11/17,Buffalo,80,Canisius,75
11/11/17,Duke,99,Utah Valley,69
11/11/17,Duquesne,80,St Francis NY,70
11/11/17,Elon,96,Peace,53
11/11/17,Fairfield,80,Penn,72
11/11/17,La Salle,61,St Peter's,40
11/11/17,Lehigh,84,Marist,76
11/11/17,Michigan,86,North Florida,66
11/11/17,UNC Wilmington,105,NC Wesleyan,81
11/11/17,Ohio,61,Alabama A&M,53
11/11/17,Presbyterian,107,Johnson TN,87
11/11/17,Toledo,98,St Joseph's PA,87
11/11/17,W Michigan,103,Siena Hts,72
11/11/17,Kent,111,Youngstown St,78
11/11/17,Quinnipiac,78,Dartmouth,77
11/11/17,Wagner,60,NJIT,49
11/11/17,SF Austin,74,Longwood,61
11/11/17,FL Gulf Coast,98,Illinois St,87
11/11/17,Bradley,68,IUPUI,53
11/11/17,Notre Dame,72,DePaul,58
11/11/17,Drake,101,Coe,54
11/11/17,Nebraska,72,E Illinois,68
11/11/17,Sam Houston St,91,UT Tyler,51
11/11/17,UT Arlington,85,Loy Marymount,80
11/11/17,South Dakota,87,Mayville St,59
11/11/17,BYU,91,MS Valley St,61
11/11/17,New Mexico,147,N New Mexico,76
11/11/17,UNLV,108,Florida A&M,66
11/11/17,Portland St,80,Portland,75
11/11/17,UC Santa Barbara,85,N Dakota St,66
11/11/17,St Mary's CA,85,St Francis PA,68
11/11/17,CS Stanislaus,79,Academy of Art,69
11/11/17,Adelphi,109,Post,82
11/11/17,Chaminade,71,AK Anchorage,65
11/11/17,American Intl,71,Holy Family,67
11/11/17,Lander,80,Anderson SC,71
11/11/17,Angelo St,90,Metro St,82
11/11/17,Arkansas-FS,86,CSU-Pueblo,83
11/11/17,Arkansas Tech,86,Concordia SP,67
11/11/17,Ark Monticello,71,MN Crookston,64
11/11/17,Dominican NY,63,Assumption,58
11/11/17,Augusta,80,Barton,72
11/11/17,Azusa Pacific,70,CS Poly Pomona,58
11/11/17,Bellarmine,80,Northwood MI,70
11/11/17,Wingate,82,Belmont Abbey,66
11/11/17,Bentley,103,Georgian Court,54
11/11/17,Bloomfield,91,Stonehill,86
11/11/17,Wheeling Jesuit,87,Bowie St,72
11/11/17,Bridgeport,83,Pace,78
11/11/17,Cal Baptist,98,Cal St-LA,69
11/11/17,California PA,88,WV Wesleyan,83
11/11/17,Cameron,80,Oklahoma Chr,69
11/11/17,Carson-Newman,95,S Wesleyan,68
11/11/17,NC Pembroke,91,Catawba,67
11/11/17,TX A&M K'ville,95,Chadron St,63
11/11/17,Clarion,81,Fayetteville St,76
